ID,PredictedProb
0,0.280997460318
1,0.887177031968
2,0.806284087302
7,0.590942126605
10,0.69755336508
11,0.682312015873
13,0.951746374285
14,0.644503529582
15,0.960127539682
16,0.846776455883
17,0.758080647597
18,0.799740253358
19,0.902721878788
20,0.806622103175
25,0.956239119047
26,0.788707706959
29,0.838226123321
38,0.964656737101
41,0.942787304086
44,0.629777662337
45,0.412393711954
47,0.768859634921
48,0.636163256549
49,0.8794374135
50,0.826563181309
53,0.508860183304
56,0.597996357143
59,0.875069246032
60,0.73615795671
64,0.795719540192
65,0.972102595238
66,0.712668019013
68,0.896351207792
69,0.711911391397
70,0.940615055556
71,0.755983833334
72,0.648464746753
76,0.87644183622
80,0.784791684291
82,0.670150578644
83,0.945115457431
85,0.906845720382
86,0.825657888889
87,0.69138034127
89,0.832732511379
97,0.898776563492
99,0.489408103175
101,0.782295161009
102,0.13846569834
103,0.6030495
104,0.517215699145
106,0.960246926407
107,0.67305534127
109,0.920719166666
111,0.394949641643
113,0.831573974216
114,0.53658963492
118,0.862592651129
119,0.64434061396
120,0.920785309524
123,0.707623448313
128,0.31248586508
129,0.898382698413
131,0.944918142857
133,0.595092607313
134,0.808382508658
136,0.945594891115
137,0.720314635004
139,0.781673432722
140,0.926889903541
142,0.817658460318
144,0.776915190476
146,0.906758380953
147,0.73170581716
148,0.91503068853
150,0.220186934248
151,0.278580102706
152,0.955603357143
155,0.986011022228
158,0.885269920559
159,0.636759563492
160,0.980162904762
161,0.616897831169
165,0.944623648574
166,0.432169100288
170,0.929704062937
171,0.788913201465
174,0.674290600489
175,0.69315890837
179,0.811138738095
180,0.913315284131
181,0.911441498557
184,0.690718771655
185,0.637723761905
187,0.870973714285
188,0.860440380953
190,0.817489840959
191,0.783758968254
192,0.640109684076
193,0.8959425
196,0.889243774634
197,0.528118174603
198,0.677840050148
205,0.178358265262
211,0.844933693362
213,0.756373269841
214,0.846540708191
217,0.508278868409
218,0.823899834999
221,0.769457785715
222,0.535814765503
225,0.853991896104
229,0.760788023809
236,0.59080262483
237,0.925390483451
238,0.821893261905
239,0.960278496623
242,0.728020476191
245,0.886333571686
246,0.819469920635
247,0.927156710678
248,0.987059119047
254,0.880971785413
255,0.492371602453
257,0.959859277778
259,0.779361801587
264,0.894533697995
270,0.64939802381
272,0.901997604618
