Id,PredictedProb
0,0.566559714
1,0.916506313
2,0.690935777
7,0.68480438
10,0.728464396
11,0.635193079
13,0.829836498
14,0.62119317
15,0.779480452
16,0.827832232
17,0.622560969
18,0.896793074
19,0.930605697
20,0.836213313
25,0.777111575
26,0.85758085
29,0.663887033
38,0.949609275
41,0.844026487
44,0.622002797
45,0.607745664
47,0.698421027
48,0.837722633
49,0.686531806
50,0.833675925
53,0.598606417
56,0.588789945
59,0.838464258
60,0.663377605
64,0.759436764
65,0.863854647
66,0.737591646
68,0.805538949
69,0.665609804
70,0.850246372
71,0.713807017
72,0.601750488
76,0.599128287
80,0.811585721
82,0.783033016
83,0.889537704
85,0.804444937
86,0.835362783
87,0.681800778
89,0.739496963
97,0.765143393
99,0.63189048
101,0.775252458
102,0.594713427
103,0.611505091
104,0.55123873
106,0.914819837
107,0.634258567
109,0.82443967
111,0.583412822
113,0.868083647
114,0.663809214
118,0.909474133
119,0.596063657
120,0.796000257
123,0.711915895
128,0.619387454
129,0.791427829
131,0.961188558
133,0.675481983
134,0.849923577
136,0.832239426
137,0.670935823
139,0.692556428
140,0.819672439
142,0.665131157
144,0.752977599
146,0.871972548
147,0.727642441
148,0.902668406
150,0.591722237
151,0.632115255
152,0.945824956
155,0.888737065
158,0.849855901
159,0.68593887
160,0.977047339
161,0.692459375
165,0.841223784
166,0.552711266
170,0.951273697
171,0.762384661
174,0.747518189
175,0.653966145
179,0.757947398
180,0.917850251
181,0.7994357
184,0.72515836
185,0.639284312
187,0.788599848
188,0.801236148
190,0.776833796
191,0.690193935
192,0.676977834
193,0.705490891
196,0.760448642
197,0.61990218
198,0.567434626
205,0.603202906
211,0.803460761
213,0.744970387
214,0.718129673
217,0.693138044
218,0.792673371
221,0.737924883
222,0.657880356
225,0.773899069
229,0.756386817
236,0.681901004
237,0.882113842
238,0.753767598
239,0.915952955
242,0.619308413
245,0.78105462
246,0.75659178
247,0.875293065
248,0.974576686
254,0.824524479
255,0.715351408
257,0.961120022
259,0.738573859
264,0.88465815
270,0.671233748
272,0.763885121
274,0.715548899
275,0.680529018
278,0.782391776
280,0.645895331
281,0.583097238
282,0.638963653
283,0.820401576
284,0.936058089
286,0.818158554
287,0.805207376
288,0.91062318
289,0.811612339
290,0.626394493
291,0.812392367
294,0.596354141
295,0.522867406
297,0.617286238
299,0.690438889
305,0.901723496
307,0.561099493
308,0.691004434
313,0.734968861
314,0.745061856
315,0.752464636
316,0.871532107
317,0.750750986
319,0.647222969
322,0.726079019
323,0.855978153
324,0.660474624
326,0.763803391
327,0.610428874
329,0.955589667
330,0.607346334
331,0.636695309
336,0.580267483
337,0.569156516
338,0.824639222
340,0.879382543
345,0.519946552
347,0.870668165
348,0.779036647
350,0.954397862
352,0.69142636
356,0.914579632
357,0.886045364
358,0.923232033
359,0.767890845
361,0.766126456
363,0.572102486
364,0.756548113
368,0.840528425
376,0.944422313
378,0.726187992
382,0.812585521
384,0.701878758
385,0.937948017
388,0.657170224
389,0.931198421
391,0.764142631
392,0.772613902
395,0.791201023
396,0.621291284
397,0.826418484
399,0.754323228
404,0.971335367
407,0.659556938
409,0.702428288
410,0.836750159
413,0.755520973
414,0.681057137
416,0.767258665
418,0.76616057
419,0.658969683
420,0.881549345
422,0.947565299
423,0.785307181
427,0.667913081
429,0.981986492
430,0.613677638
431,0.724640425
432,0.679321809
433,0.86924679
434,0.606371555
436,0.699022925
437,0.827165876
451,0.734034106
452,0.752269321
454,0.610094461
457,0.837695858
458,0.84702932
460,0.699549082
461,0.847107324
462,0.691515083
463,0.773762593
465,0.910739621
467,0.882060278
473,0.761674157
474,0.907079936
480,0.642754348
481,0.791128254
483,0.794139496
484,0.785095405
485,0.723801325
487,0.757621669
490,0.856620156
491,0.731088172
492,0.670619453
496,0.666362861
497,0.827330973
498,0.655608608
499,0.648594964
501,0.701226806
502,0.826176412
503,0.816576793
506,0.875400075
507,0.721220542
508,0.610632919
509,0.764053157
510,0.749203908
511,0.688747827
513,0.809358869
515,0.913155706
521,0.67598406
522,0.745820917
523,0.794564612
525,0.720631646
529,0.781104368
530,0.722420874
531,0.715890926
533,0.709083396
534,0.765124713
535,0.834892243
537,0.663355267
541,0.704035269
542,0.657645016
543,0.689049768
544,0.751938699
545,0.649183545
549,0.914284686
550,0.75270805
551,0.819304828
553,0.682900044
556,0.768349981
558,0.685064412
560,0.843655577
563,0.672326307
564,0.948617282
567,0.655717021
572,0.685548056
573,0.901809091
577,0.767600051
583,0.749110777
584,0.750120529
585,0.737757515
586,0.721884732
588,0.703226795
590,0.713635111
591,0.759497298
593,0.946415212
594,0.826393296
597,0.735711819
598,0.730875501
599,0.846507387
603,0.719961611
604,0.692818267
606,0.976355953
607,0.710879942
609,0.676801309
614,0.820495283
615,0.858238291
616,0.608751016
617,0.859811964
618,0.81945766
619,0.776943978
620,0.864972128
623,0.66396999
625,0.749441307
626,0.914343031
627,0.884849027
632,0.858663175
633,0.614953974
634,0.75301377
635,0.740227298
636,0.814305008
637,0.903434167
638,0.835201613
639,0.886999499
642,0.642705981
643,0.846434
644,0.964243739
645,0.674832373
646,0.804254905
650,0.953148443
653,0.68024124
654,0.610922085
655,0.653756966
656,0.790014245
657,0.74555467
658,0.667643072
660,0.652673036
661,0.723351684
668,0.930752675
669,0.721570941
671,0.864941376
672,0.676633065
676,0.94315323
678,0.778628533
680,0.849059659
682,0.953759135
684,0.869627562
685,0.790448601
686,0.629618417
687,0.609891494
694,0.690320043
696,0.657266301
697,0.802414893
699,0.597363338
702,0.953851257
707,0.799773025
708,0.958374921
712,0.961415131
717,0.923234794
718,0.944600941
720,0.626709237
721,0.855844006
723,0.722583183
724,0.702238877
727,0.715257436
728,0.647627711
731,0.785486628
733,0.800974897
735,0.886768515
737,0.765356191
738,0.731816315
740,0.726116653
742,0.976740735
743,0.661465973
745,0.597440098
746,0.724992415
747,0.825367411
748,0.993849262
749,0.909474273
750,0.972439714
753,0.68856124
755,0.761850057
756,0.859692428
758,0.607499306
760,0.704757968
762,0.779572943
763,0.743628243
765,0.732004617
767,0.722043524
768,0.916396157
770,0.880462956
772,0.705308183
773,0.85463518
774,0.782660271
775,0.749165993
777,0.636180196
778,0.880004146
780,0.734908196
782,0.74570357
783,0.964091251
786,0.538945768
787,0.885080718
788,0.694610328
789,0.714485927
790,0.659168771
793,0.781914311
795,0.869640119
807,0.702169411
809,0.765099862
810,0.613057312
811,0.929574484
813,0.669686209
815,0.815455439
816,0.665934138
821,0.678489577
823,0.956260868
825,0.796079526
826,0.843271669
827,0.790021449
832,0.789118198
833,0.794281093
834,0.625294545
837,0.771939129
838,0.981955965
839,0.635394579
843,0.582783272
844,0.732658713
845,0.63278824
846,0.695865347
848,0.759704234
850,0.812420348
851,0.882545108
852,0.682812952
855,0.794857976
856,0.907597272
861,0.668848996
862,0.886737697
863,0.854475278
864,0.711212828
865,0.861439141
867,0.780868402
868,0.793972848
869,0.92490999
873,0.75194624
875,0.63776827
877,0.875258275
879,0.802844285
880,0.976978758
881,0.67683351
882,0.653010574
883,0.984098419
887,0.710413172
888,0.567372134
890,0.951502641
897,0.719489094
900,0.735157381
902,0.710927112
904,0.737570596
906,0.749326926
910,0.779667864
913,0.755880486
914,0.702769601
915,0.634913819
918,0.635707435
920,0.896184054
923,0.850404208
926,0.783391615
927,0.699757072
929,0.751503229
930,0.74916798
931,0.835885616
932,0.802579213
933,0.5846527
934,0.824590436
936,0.713479335
939,0.724451503
941,0.80607542
943,0.641525122
947,0.588675779
948,0.739021208
949,0.873654275
950,0.679929318
951,0.703444882
952,0.678512331
953,0.973482093
956,0.861675987
961,0.662797335
962,0.638240653
968,0.758811239
971,0.935401665
972,0.882244733
977,0.961537779
981,0.757731577
985,0.999789304
987,0.889959029
989,0.989933499
993,0.90029814
994,0.592247273
997,0.982770346
998,0.679552495
999,0.726425143
1002,0.662828949
1003,0.895454445
1004,0.762770574
1005,0.68558982
1007,0.678639801
1008,0.853453593
1014,0.834892274
1016,0.807669473
1021,0.660867306
1023,0.930280441
1026,0.835203373
1028,0.62783525
1029,0.746466403
1030,0.65971826
1031,0.701035198
1032,0.819859981
1033,0.965463709
1036,0.685016109
1037,0.923419663
1039,0.617222628
1046,0.904113317
1047,0.865446266
1049,0.935926654
1055,0.828298375
1057,0.541979838
1059,0.676302902
1060,0.704816639
1062,0.563353625
1063,0.718691247
1066,0.647512965
1067,0.907814409
1068,0.577300134
1070,0.72756716
1071,0.638541731
1073,0.757023646
1074,0.763370565
1075,0.855354199
1076,0.717911363
1077,0.89898324
1079,0.679520563
1083,0.68933965
1085,0.776734363
1087,0.648270953
1088,0.575024669
1089,0.846626427
1092,0.748642725
1095,0.662464384
1104,0.989093943
1106,0.988134793
1108,0.643634147
1110,0.703253334
1117,0.901910336
1118,0.731083586
1119,0.819831153
1121,0.725912674
1122,0.793685861
1124,0.763915101
1125,0.597397971
1126,0.630757703
1128,0.731049739
1129,0.625998745
1131,0.588298724
1132,0.734250661
1133,0.741260392
1134,0.601553275
1137,0.899401431
1138,0.625761629
1139,0.733975453
1140,0.706366246
1141,0.732688116
1143,0.674918867
1144,0.869377953
1145,0.739811073
1146,0.817226231
1147,0.811279885
1149,0.734619915
1151,0.731240097
1154,0.776448941
1156,0.665334685
1158,0.808609439
1165,0.754539273
1166,0.675870923
1167,0.654886534
1168,0.78874152
1169,0.634941648
1171,0.70295818
1173,0.646207737
1175,0.725905281
1181,0.619451731
1182,0.721580729
1184,0.716228127
1187,0.690013808
1189,0.868887472
1190,0.635220155
1193,0.670433614
1194,0.954030068
1196,0.770256451
1202,0.765343326
1203,0.626518603
1206,0.818015581
1209,0.951376329
1211,0.738726549
1212,0.606486733
1215,0.709627065
1216,0.636281721
1220,0.846345056
1222,0.813211006
1223,0.900315673
1224,0.806121513
1227,0.808223299
1229,0.642887363
1230,0.765895106
1233,0.835168176
1236,0.578328923
1242,0.854274182
1245,0.492400446
1246,0.895139748
1249,0.938303551
1250,0.886856478
1253,0.878980519
1258,0.696750239
1259,0.717299413
1262,0.986710584
1263,0.756506963
1265,0.907558018
1266,0.824548987
1267,0.796663744
1268,0.898876504
1269,0.736842052
1270,0.739519273
1271,0.816645529
1272,0.966569377
1276,0.899819092
1277,0.90233286
1279,0.570951697
1280,0.81547842
1283,0.67243578
1285,0.697613675
1286,0.776725866
1290,0.66511858
1293,0.661246289
1295,0.646587436
1297,0.934558204
1299,0.88210058
1300,0.965110293
1301,0.80225169
1302,0.966344904
1303,0.828449717
1304,0.783522435
1305,0.75509774
1306,0.721497646
1307,0.720534827
1308,0.993819623
1309,0.693888164
1312,0.740919035
1313,0.801937863
1314,0.801538188
1316,0.769235818
1318,0.648624686
1319,0.843062477
1320,0.773094377
1322,0.962623481
1323,0.676026691
1325,0.635089381
1329,0.647947563
1330,0.803830519
1334,0.66698749
1337,0.964686417
1340,0.726904283
1341,0.831215726
1342,0.609399394
1347,0.597334437
1349,0.772465199
1350,0.736754344
1355,0.687831287
1356,0.66191904
1357,0.721745616
1358,0.730106617
1359,0.781624601
1361,0.690615491
1363,0.61174578
1366,0.71415264
1367,0.910072064
1370,0.947196934
1375,0.925401797
1377,0.933423953
1379,0.768649338
1381,0.665325549
1382,0.770039932
1385,0.73984522
1387,0.494750759
1389,0.71109462
1392,0.824527924
